Date,SMSValue
2018/12/04 17:39:20,52.002
2018/12/04 17:46:52,56.866
2018/12/04 17:47:03,55.367
2018/12/04 22:37:56,54.69
2018/12/04 23:50:33,54.554
2018/12/05 10:02:01,52.871
2018/12/05 10:02:12,51.801
2018/12/05 10:12:23,51.003
2018/12/05 10:12:45,51.735
2018/12/05 10:17:26,53.812
2018/12/06 14:23:11,53.14
2018/12/06 23:50:32,53.14
2018/12/07 10:53:14,52.871
2018/12/07 10:54:55,52.871
2018/12/07 10:59:27,52.871
2018/12/07 11:03:53,52.871
2018/12/07 13:05:36,52.67
2018/12/07 13:06:12,52.67
2018/12/07 13:36:49,47.775
2018/12/07 13:45:14,46.409
2018/12/07 13:50:51,45.763
2018/12/07 13:51:06,44.415
2018/12/07 13:51:37,45.828
2018/12/07 13:51:52,46.734
2018/12/07 13:53:40,45.763
2018/12/07 13:53:55,44.415
2018/12/07 14:23:46,47.319
2018/12/07 14:24:01,48.954
2018/12/07 15:21:56,45.699
2018/12/07 16:24:26,45.055
2018/12/07 16:34:08,44.415
2018/12/07 17:03:43,43.777
2018/12/07 17:05:00,44.991
2018/12/07 18:06:14,44.351
2018/12/07 23:50:38,44.607
2018/12/08 11:13:43,43.968
2018/12/08 23:50:44,43.713
2018/12/09 23:50:44,43.205
2018/12/10 11:32:42,42.573
2018/12/10 23:50:31,42.825
2018/12/11 10:10:50,40.258
2018/12/11 10:11:06,31.634
2018/12/11 10:11:36,33.235
2018/12/11 10:12:38,32.582
2018/12/11 10:31:46,33.235
2018/12/11 14:08:06,39.454
2018/12/11 14:13:27,38.287
2018/12/11 14:13:43,32.404
2018/12/11 14:19:04,33.116
2018/12/11 14:19:19,33.829
2018/12/11 16:27:51,35.502
2018/12/11 22:40:50,36.103
2018/12/11 23:50:31,36.103
2018/12/12 12:49:17,35.682
2018/12/12 13:02:35,35.742
2018/12/12 17:19:43,35.802
2018/12/12 23:50:32,36.103
2018/12/13 10:05:16,35.023
2018/12/13 10:05:31,33.77
2018/12/13 10:06:02,35.382
2018/12/13 10:14:27,36.888
2018/12/13 12:24:33,38.654
2018/12/13 12:24:49,37.252
2018/12/13 12:27:06,35.923
2018/12/13 12:27:37,31.93
2018/12/13 12:27:52,27.585
2018/12/13 14:29:25,27.344
2018/12/13 14:30:16,27.404
2018/12/13 14:53:16,27.344
2018/12/13 23:50:32,28.486
2018/12/14 11:39:56,26.003
2018/12/14 11:40:11,24.509
2018/12/14 11:40:26,26.371
2018/12/14 14:45:24,29.142
2018/12/14 15:21:07,27.525
2018/12/14 15:21:22,24.761
2018/12/14 16:31:47,31.575
2018/12/14 17:29:11,30.686
2018/12/14 18:03:07,28.006
2018/12/14 23:50:41,28.006
2018/12/15 12:54:17,27.101
2018/12/15 23:50:45,26.615
2018/12/16 17:08:11,25.941
2018/12/16 23:50:40,25.509
2018/12/17 04:03:54,24.886
2018/12/17 11:24:45,24.256
2018/12/17 11:27:48,27.404
2018/12/17 12:58:53,26.798
2018/12/17 23:50:47,26.493
2018/12/18 09:50:58,28.066
2018/12/18 09:51:13,39.023
2018/12/18 09:51:29,35.862
2018/12/18 09:51:44,34.246
2018/12/18 09:51:59,33.413
2018/12/18 09:52:30,32.7
2018/12/18 09:53:16,29.915
2018/12/18 13:32:55,29.321
2018/12/18 15:42:31,28.605
2018/12/18 17:51:52,27.946
2018/12/18 17:52:07,24.446
2018/12/18 23:50:38,24.635
2018/12/19 11:02:31,25.261
2018/12/19 17:59:23,24.635
2018/12/19 23:50:45,24.572
2018/12/20 11:05:26,28.306
2018/12/20 11:05:56,26.859
2018/12/20 11:06:27,26.187
2018/12/20 11:10:21,25.818
2018/12/20 11:12:48,25.818
2018/12/20 11:20:04,25.757
2018/12/20 11:37:06,25.757
2018/12/20 11:40:42,25.757
2018/12/20 11:45:42,25.757
2018/12/20 12:44:32,24.572
2018/12/20 16:50:59,23.938
2018/12/20 18:03:57,26.798
2018/12/20 18:04:27,25.818
2018/12/20 23:50:37,25.941
2018/12/21 13:31:59,26.919
2018/12/21 13:33:16,26.064
2018/12/21 23:50:42,26.432
2018/12/22 13:10:39,27.101
2018/12/22 20:58:31,27.706
2018/12/22 23:50:49,27.645
2018/12/23 23:50:36,28.066
2018/12/24 23:50:39,28.006
2018/12/25 23:50:45,28.186
2018/12/26 13:43:52,27.585
2018/12/26 13:45:39,24.319
2018/12/26 13:46:10,25.074
2018/12/26 13:48:27,25.941
2018/12/26 23:50:30,26.31
2018/12/27 09:51:58,27.101
2018/12/27 14:11:41,26.493
2018/12/27 16:40:40,27.223
2018/12/27 16:57:30,27.826
2018/12/27 23:50:38,28.306
2018/12/28 14:54:24,29.023
2018/12/28 21:42:04,25.323
2018/12/28 21:55:05,25.941
2018/12/28 22:25:57,23.36
2018/12/28 22:26:58,21.235
2018/12/28 22:27:29,19.119
2018/12/28 22:34:37,21.098
2018/12/28 22:34:53,23.165
2018/12/28 22:38:42,24.572
2018/12/28 23:45:11,29.023
2018/12/28 23:48:21,26.676
2018/12/31 12:31:36,29.023
2018/12/31 13:14:51,29.023
2018/12/31 23:50:43,29.202
2019/01/01 23:50:47,29.499
2019/01/02 23:50:36,29.261
2019/01/03 23:50:43,29.023
2019/01/04 23:50:47,29.083
2019/01/05 23:50:37,29.499
2019/01/06 23:50:41,29.44
2019/01/07 17:16:50,28.844
2019/01/07 19:05:46,27.585
2019/01/07 23:50:34,27.766
2019/01/08 14:34:43,27.162
2019/01/08 16:37:51,19.982
2019/01/10 12:29:44,19.119
2019/01/10 23:50:35,18.752
2019/01/11 13:04:41,18.005
